,Scorecard,Team 1,Team 2,Margin,Ground,Match Date,Winner
2008,ODI # 2090,South Africa,West Indies,16 runs,Port Elizabeth,"Jan 28, 2004",South Africa
2009,ODI # 2093,Australia,India,5 wickets,Perth,"Feb 1, 2004",Australia
2010,ODI # 2094,South Africa,West Indies,7 wickets,Centurion,"Feb 1, 2004",West Indies
2011,ODI # 2095,India,Zimbabwe,4 wickets,Perth,"Feb 3, 2004",India
2012,ODI # 2096,South Africa,West Indies,4 wickets,Johannesburg,"Feb 4, 2004",South Africa
2013,ODI # 2097,Australia,India,7 wickets,Melbourne,"Feb 6, 2004",Australia
2014,ODI # 2098,Australia,India,208 runs,Sydney,"Feb 8, 2004",Australia
2015,ODI # 2099,New Zealand,South Africa,5 wickets,Auckland,"Feb 13, 2004",South Africa
2016,ODI # 2100,New Zealand,South Africa,5 wickets,Christchurch,"Feb 17, 2004",New Zealand
2017,ODI # 2101,New Zealand,South Africa,5 runs,Wellington,"Feb 20, 2004",New Zealand
2018,ODI # 2102,Sri Lanka,Australia,84 runs,Dambulla,"Feb 20, 2004",Australia
2019,ODI # 2103,Sri Lanka,Australia,1 run,Dambulla,"Feb 22, 2004",Sri Lanka
2020,ODI # 2104,New Zealand,South Africa,6 wickets,Dunedin,"Feb 25, 2004",New Zealand
2021,ODI # 2105,Sri Lanka,Australia,5 wickets,Colombo,"Feb 25, 2004",Australia
2022,ODI # 2106,Sri Lanka,Australia,40 runs,Colombo,"Feb 27, 2004",Australia
2023,ODI # 2107,New Zealand,South Africa,2 runs,Auckland,"Feb 29, 2004",New Zealand
2024,ODI # 2108,Sri Lanka,Australia,3 wickets,Colombo,"Feb 29, 2004",Sri Lanka
2025,ODI # 2109,New Zealand,South Africa,5 wickets,Napier,"Mar 2, 2004",New Zealand
2026,ODI # 2110,Zimbabwe,Bangladesh,8 runs,Harare,"Mar 10, 2004",Bangladesh
2027,ODI # 2111,Zimbabwe,Bangladesh,14 runs,Harare,"Mar 12, 2004",Zimbabwe
2028,ODI # 2112,Pakistan,India,5 runs,Karachi,"Mar 13, 2004",India
2029,ODI # 2113,Zimbabwe,Bangladesh,3 wickets,Harare,"Mar 14, 2004",Zimbabwe
2030,ODI # 2114,Pakistan,India,12 runs,Rawalpindi,"Mar 16, 2004",Pakistan
2031,ODI # 2115,Pakistan,India,4 wickets,Peshawar,"Mar 19, 2004",Pakistan
2032,ODI # 2116,Pakistan,India,5 wickets,Lahore,"Mar 21, 2004",India
2033,ODI # 2117,Pakistan,India,40 runs,Lahore,"Mar 24, 2004",India
2034,ODI # 2118,West Indies,England,2 wickets,Georgetown,"Apr 18, 2004",England
2035,ODI # 2119,Zimbabwe,Sri Lanka,12 runs,Bulawayo,"Apr 20, 2004",Sri Lanka
2036,ODI # 2120,Zimbabwe,Sri Lanka,9 wickets,Bulawayo,"Apr 22, 2004",Sri Lanka
2037,ODI # 2122,Zimbabwe,Sri Lanka,9 wickets,Harare,"Apr 25, 2004",Sri Lanka
2038,ODI # 2123,Zimbabwe,Sri Lanka,72 runs,Harare,"Apr 27, 2004",Sri Lanka
2039,ODI # 2124,Zimbabwe,Sri Lanka,25 runs,Harare,"Apr 29, 2004",Sri Lanka
2040,ODI # 2125,West Indies,England,5 wickets,Gros Islet,"May 1, 2004",West Indies
2041,ODI # 2126,West Indies,England,4 wickets,Gros Islet,"May 2, 2004",West Indies
2042,ODI # 2127,West Indies,England,5 wickets,Bridgetown,"May 5, 2004",England
2043,ODI # 2128,West Indies,Bangladesh,1 wicket,Kingstown,"May 15, 2004",West Indies
2044,ODI # 2129,West Indies,Bangladesh,23 runs,Kingstown,"May 16, 2004",West Indies
2045,ODI # 2130,West Indies,Bangladesh,7 wickets,St George's,"May 19, 2004",West Indies
2046,ODI # 2131,Zimbabwe,Australia,7 wickets,Harare,"May 25, 2004",Australia
2047,ODI # 2132,Zimbabwe,Australia,139 runs,Harare,"May 27, 2004",Australia
2048,ODI # 2133,Zimbabwe,Australia,8 wickets,Harare,"May 29, 2004",Australia
2049,ODI # 2135,England,West Indies,7 wickets,Nottingham,"Jun 27, 2004",West Indies
2050,ODI # 2136,England,New Zealand,7 wickets,Chester,"Jun 29, 2004",New Zealand
2051,ODI # 2137,England,West Indies,7 wickets,Leeds,"Jul 1, 2004",England
2052,ODI # 2138,New Zealand,West Indies,5 wickets,Cardiff,"Jul 3, 2004",New Zealand
2053,ODI # 2139,England,New Zealand,6 wickets,Bristol,"Jul 4, 2004",New Zealand
2054,ODI # 2140,England,West Indies,7 wickets,Lord's,"Jul 6, 2004",West Indies
2055,ODI # 2142,New Zealand,West Indies,107 runs,Lord's,"Jul 10, 2004",New Zealand
2056,ODI # 2143,Bangladesh,Hong Kong,116 runs,Colombo,"Jul 16, 2004",Bangladesh
2057,ODI # 2144,India,U.A.E.,116 runs,Dambulla,"Jul 16, 2004",India
2058,ODI # 2145,Bangladesh,Pakistan,76 runs,Colombo,"Jul 17, 2004",Pakistan
2059,ODI # 2146,Sri Lanka,U.A.E.,116 runs,Dambulla,"Jul 17, 2004",Sri Lanka
2060,ODI # 2147,Hong Kong,Pakistan,173 runs,Colombo,"Jul 18, 2004",Pakistan
2061,ODI # 2148,Sri Lanka,India,12 runs,Dambulla,"Jul 18, 2004",Sri Lanka
2062,ODI # 2149,Bangladesh,India,8 wickets,Colombo,"Jul 21, 2004",India
2063,ODI # 2150,Sri Lanka,Pakistan,7 wickets,Colombo,"Jul 21, 2004",Sri Lanka
2064,ODI # 2151,Sri Lanka,Bangladesh,10 wickets,Colombo,"Jul 23, 2004",Sri Lanka
2065,ODI # 2152,India,Pakistan,59 runs,Colombo,"Jul 25, 2004",Pakistan
2066,ODI # 2153,Sri Lanka,India,4 runs,Colombo,"Jul 27, 2004",India
2067,ODI # 2154,Bangladesh,Pakistan,6 wickets,Colombo,"Jul 29, 2004",Pakistan
2068,ODI # 2155,Sri Lanka,India,25 runs,Colombo,"Aug 1, 2004",Sri Lanka
2069,ODI # 2156,Sri Lanka,South Africa,3 wickets,Colombo,"Aug 20, 2004",Sri Lanka
2070,ODI # 2157,India,Pakistan,66 runs,Amstelveen,"Aug 21, 2004",Pakistan
2071,ODI # 2158,Sri Lanka,South Africa,37 runs,Colombo,"Aug 22, 2004",Sri Lanka
2072,ODI # 2160,Sri Lanka,South Africa,4 wickets,Dambulla,"Aug 25, 2004",Sri Lanka
2073,ODI # 2161,Sri Lanka,South Africa,7 wickets,Dambulla,"Aug 28, 2004",Sri Lanka
2074,ODI # 2162,Australia,Pakistan,17 runs,Amstelveen,"Aug 28, 2004",Australia
2075,ODI # 2163,Sri Lanka,South Africa,49 runs,Colombo,"Aug 31, 2004",Sri Lanka
2076,ODI # 2164,England,India,7 wickets,Nottingham,"Sep 1, 2004",England
2077,ODI # 2165,England,India,70 runs,The Oval,"Sep 3, 2004",England
2078,ODI # 2166,Australia,Pakistan,10 runs,Lord's,"Sep 4, 2004",Australia
2079,ODI # 2167,England,India,23 runs,Lord's,"Sep 5, 2004",India
2080,ODI # 2168,England,Zimbabwe,152 runs,Birmingham,"Sep 10-11, 2004",England
2081,ODI # 2169,New Zealand,U.S.A.,210 runs,The Oval,"Sep 10, 2004",New Zealand
2082,ODI # 2170,India,Kenya,98 runs,Southampton,"Sep 11, 2004",India
2083,ODI # 2171,Bangladesh,South Africa,9 wickets,Birmingham,"Sep 12, 2004",South Africa
2084,ODI # 2172,Australia,U.S.A.,9 wickets,Southampton,"Sep 13, 2004",Australia
2085,ODI # 2173,Sri Lanka,Zimbabwe,4 wickets,The Oval,"Sep 14, 2004",Sri Lanka
2086,ODI # 2174,Kenya,Pakistan,7 wickets,Birmingham,"Sep 14-15, 2004",Pakistan
2087,ODI # 2175,Bangladesh,West Indies,138 runs,Southampton,"Sep 15, 2004",West Indies
2088,ODI # 2176,Australia,New Zealand,7 wickets,The Oval,"Sep 16, 2004",Australia
2089,ODI # 2177,England,Sri Lanka,49 runs,Southampton,"Sep 17-18, 2004",England
2090,ODI # 2178,South Africa,West Indies,5 wickets,The Oval,"Sep 18-19, 2004",West Indies
2091,ODI # 2179,India,Pakistan,3 wickets,Birmingham,"Sep 19, 2004",Pakistan
2092,ODI # 2180,England,Australia,6 wickets,Birmingham,"Sep 21, 2004",England
2093,ODI # 2181,Pakistan,West Indies,7 wickets,Southampton,"Sep 22, 2004",West Indies
2094,ODI # 2182,England,West Indies,2 wickets,The Oval,"Sep 25, 2004",West Indies
2095,ODI # 2183,Pakistan,Zimbabwe,144 runs,Multan,"Sep 30, 2004",Pakistan
2096,ODI # 2184,Pakistan,Zimbabwe,3 wickets,Peshawar,"Oct 3, 2004",Pakistan
2097,ODI # 2185,Pakistan,Sri Lanka,8 wickets,Karachi,"Oct 6, 2004",Pakistan
2098,ODI # 2186,Sri Lanka,Zimbabwe,7 wickets,Rawalpindi,"Oct 9, 2004",Sri Lanka
2099,ODI # 2187,Pakistan,Sri Lanka,6 wickets,Lahore,"Oct 14, 2004",Pakistan
2100,ODI # 2188,Pakistan,Sri Lanka,119 runs,Lahore,"Oct 16, 2004",Sri Lanka
2101,ODI # 2189,Bangladesh,New Zealand,138 runs,Chittagong,"Nov 2, 2004",New Zealand
2102,ODI # 2190,Bangladesh,New Zealand,3 wickets,Dhaka,"Nov 5, 2004",New Zealand
2103,ODI # 2191,Bangladesh,New Zealand,83 runs,Dhaka,"Nov 7, 2004",New Zealand
2104,ODI # 2192,India,Pakistan,6 wickets,Kolkata,"Nov 13, 2004",Pakistan
2105,ODI # 2193,Zimbabwe,England,5 wickets,Harare,"Nov 28, 2004",England
2106,ODI # 2194,Zimbabwe,England,161 runs,Harare,"Dec 1, 2004",England
2107,ODI # 2195,Zimbabwe,England,8 wickets,Bulawayo,"Dec 4, 2004",England
2108,ODI # 2196,Australia,New Zealand,4 wickets,Melbourne,"Dec 5, 2004",New Zealand
2109,ODI # 2197,Zimbabwe,England,74 runs,Bulawayo,"Dec 5, 2004",England
2110,ODI # 2198,Australia,New Zealand,17 runs,Sydney,"Dec 8, 2004",Australia
2111,ODI # 2199,Bangladesh,India,11 runs,Chittagong,"Dec 23, 2004",India
2112,ODI # 2200,New Zealand,Sri Lanka,7 wickets,Auckland,"Dec 26, 2004",New Zealand
2113,ODI # 2201,Bangladesh,India,15 runs,Dhaka,"Dec 26, 2004",Bangladesh
2114,ODI # 2202,Bangladesh,India,91 runs,Dhaka,"Dec 27, 2004",India
2115,ODI # 2204,Australia,West Indies,116 runs,Melbourne,"Jan 14, 2005",Australia
2116,ODI # 2205,Australia,Pakistan,4 wickets,Hobart,"Jan 16, 2005",Australia
2117,ODI # 2206,Pakistan,West Indies,6 wickets,Brisbane,"Jan 19, 2005",Pakistan
2118,ODI # 2207,Bangladesh,Zimbabwe,22 runs,Dhaka,"Jan 20, 2005",Zimbabwe
2119,ODI # 2209,Australia,Pakistan,9 wickets,Sydney,"Jan 23, 2005",Australia
2120,ODI # 2210,Bangladesh,Zimbabwe,31 runs,Chittagong,"Jan 24, 2005",Zimbabwe
2121,ODI # 2211,Bangladesh,Zimbabwe,40 runs,Chittagong,"Jan 26, 2005",Bangladesh
2122,ODI # 2212,Australia,West Indies,73 runs,Adelaide,"Jan 26, 2005",Australia
2123,ODI # 2213,Pakistan,West Indies,58 runs,Adelaide,"Jan 28, 2005",West Indies
2124,ODI # 2214,Bangladesh,Zimbabwe,58 runs,Dhaka,"Jan 29, 2005",Bangladesh
2125,ODI # 2215,Australia,Pakistan,3 wickets,Perth,"Jan 30, 2005",Pakistan
2126,ODI # 2216,South Africa,England,26 runs,Johannesburg,"Jan 30, 2005",England
2127,ODI # 2217,Bangladesh,Zimbabwe,8 wickets,Dhaka,"Jan 31, 2005",Bangladesh
2128,ODI # 2218,Pakistan,West Indies,30 runs,Perth,"Feb 1, 2005",Pakistan
2129,ODI # 2220,Australia,Pakistan,18 runs,Melbourne,"Feb 4, 2005",Australia
2130,ODI # 2221,South Africa,England,3 wickets,Port Elizabeth,"Feb 4, 2005",South Africa
2131,ODI # 2222,Australia,Pakistan,31 runs,Sydney,"Feb 6, 2005",Australia
2132,ODI # 2223,South Africa,England,108 runs,Cape Town,"Feb 6, 2005",South Africa
2133,ODI # 2224,South Africa,England,7 runs,East London,"Feb 9, 2005",South Africa
2134,ODI # 2226,South Africa,England,3 wickets,Centurion,"Feb 13, 2005",South Africa
2135,ODI # 2227,New Zealand,Australia,10 runs,Wellington,"Feb 19, 2005",Australia
2136,ODI # 2228,New Zealand,Australia,106 runs,Christchurch,"Feb 22, 2005",Australia
2137,ODI # 2229,South Africa,Zimbabwe,165 runs,Johannesburg,"Feb 25, 2005",South Africa
2138,ODI # 2230,New Zealand,Australia,86 runs,Auckland,"Feb 26, 2005",Australia
2139,ODI # 2231,South Africa,Zimbabwe,131 runs,Durban,"Feb 27, 2005",South Africa
2140,ODI # 2232,New Zealand,Australia,7 wickets,Wellington,"Mar 1, 2005",Australia
2141,ODI # 2233,South Africa,Zimbabwe,5 wickets,Port Elizabeth,"Mar 2, 2005",South Africa
2142,ODI # 2234,New Zealand,Australia,122 runs,Napier,"Mar 5, 2005",Australia
2143,ODI # 2235,India,Pakistan,87 runs,Kochi,"Apr 2, 2005",India
2144,ODI # 2236,India,Pakistan,58 runs,Visakhapatnam,"Apr 5, 2005",India
2145,ODI # 2237,India,Pakistan,106 runs,Jamshedpur,"Apr 9, 2005",Pakistan
2146,ODI # 2238,India,Pakistan,3 wickets,Ahmedabad,"Apr 12, 2005",Pakistan
2147,ODI # 2239,India,Pakistan,5 wickets,Kanpur,"Apr 15, 2005",Pakistan
2148,ODI # 2240,India,Pakistan,159 runs,Delhi,"Apr 17, 2005",Pakistan
2149,ODI # 2241,West Indies,South Africa,8 wickets,Kingston,"May 7, 2005",South Africa
2150,ODI # 2242,West Indies,South Africa,8 wickets,Kingston,"May 8, 2005",South Africa
2151,ODI # 2243,West Indies,South Africa,1 run,Bridgetown,"May 11, 2005",South Africa
2152,ODI # 2244,West Indies,South Africa,6 wickets,Port of Spain,"May 14, 2005",South Africa
2153,ODI # 2245,West Indies,South Africa,7 wickets,Port of Spain,"May 15, 2005",South Africa
2154,ODI # 2246,West Indies,Pakistan,59 runs,Kingstown,"May 18, 2005",Pakistan
2155,ODI # 2247,West Indies,Pakistan,40 runs,Gros Islet,"May 21, 2005",Pakistan
2156,ODI # 2248,West Indies,Pakistan,22 runs,Gros Islet,"May 22, 2005",Pakistan
2157,ODI # 2249,England,Bangladesh,10 wickets,The Oval,"Jun 16, 2005",England
2158,ODI # 2250,Australia,Bangladesh,5 wickets,Cardiff,"Jun 18, 2005",Bangladesh
2159,ODI # 2251,England,Australia,3 wickets,Bristol,"Jun 19, 2005",England
2160,ODI # 2252,England,Bangladesh,168 runs,Nottingham,"Jun 21, 2005",England
2161,ODI # 2253,England,Australia,57 runs,Chester,"Jun 23, 2005",Australia
2162,ODI # 2254,Australia,Bangladesh,10 wickets,Manchester,"Jun 25, 2005",Australia
2163,ODI # 2255,England,Bangladesh,5 wickets,Leeds,"Jun 26, 2005",England
2164,ODI # 2257,Australia,Bangladesh,6 wickets,Canterbury,"Jun 30, 2005",Australia
2165,ODI # 2259,England,Australia,9 wickets,Leeds,"Jul 7, 2005",England
2166,ODI # 2260,England,Australia,7 wickets,Lord's,"Jul 10, 2005",Australia
2167,ODI # 2261,England,Australia,8 wickets,The Oval,"Jul 12, 2005",Australia
2168,ODI # 2262,Sri Lanka,India,3 wickets,Dambulla,"Jul 30, 2005",Sri Lanka
2169,ODI # 2263,India,West Indies,6 wickets,Dambulla,"Jul 31, 2005",India
2170,ODI # 2264,Sri Lanka,West Indies,50 runs,Dambulla,"Aug 2, 2005",Sri Lanka
2171,ODI # 2265,Sri Lanka,India,4 wickets,Dambulla,"Aug 3, 2005",Sri Lanka
2172,ODI # 2266,Sri Lanka,West Indies,33 runs,Colombo,"Aug 6, 2005",West Indies
2173,ODI # 2267,India,West Indies,7 runs,Colombo,"Aug 7, 2005",India
2174,ODI # 2268,Sri Lanka,India,18 runs,Colombo,"Aug 9, 2005",Sri Lanka
2175,ODI # 2272,Zimbabwe,New Zealand,192 runs,Bulawayo,"Aug 24, 2005",New Zealand
2176,ODI # 2273,India,New Zealand,51 runs,Bulawayo,"Aug 26, 2005",New Zealand
2177,ODI # 2274,Zimbabwe,India,161 runs,Harare,"Aug 29, 2005",India
2178,ODI # 2275,Sri Lanka,Bangladesh,88 runs,Colombo,"Aug 31, 2005",Sri Lanka
2179,ODI # 2276,Zimbabwe,New Zealand,27 runs,Harare,"Aug 31, 2005",New Zealand
2180,ODI # 2277,Sri Lanka,Bangladesh,75 runs,Colombo,"Sep 2, 2005",Sri Lanka
2181,ODI # 2278,India,New Zealand,6 wickets,Harare,"Sep 2, 2005",India
2182,ODI # 2279,Sri Lanka,Bangladesh,6 wickets,Colombo,"Sep 4, 2005",Sri Lanka
2183,ODI # 2280,Zimbabwe,India,4 wickets,Harare,"Sep 4, 2005",India
2184,ODI # 2281,India,New Zealand,6 wickets,Harare,"Sep 6, 2005",New Zealand
2185,ODI # 2285,South Africa,New Zealand,2 wickets,Bloemfontein,"Oct 23, 2005",South Africa
2186,ODI # 2286,India,Sri Lanka,152 runs,Nagpur,"Oct 25, 2005",India
2187,ODI # 2287,India,Sri Lanka,8 wickets,Mohali,"Oct 28, 2005",India
2188,ODI # 2288,South Africa,New Zealand,19 runs,Cape Town,"Oct 28, 2005",South Africa
2189,ODI # 2289,South Africa,New Zealand,4 wickets,Port Elizabeth,"Oct 30, 2005",South Africa
2190,ODI # 2290,India,Sri Lanka,6 wickets,Jaipur,"Oct 31, 2005",India
2191,ODI # 2291,India,Sri Lanka,4 wickets,Pune,"Nov 3, 2005",India
2192,ODI # 2293,South Africa,New Zealand,5 wickets,Centurion,"Nov 6, 2005",South Africa
2193,ODI # 2294,India,Sri Lanka,5 wickets,Ahmedabad,"Nov 6, 2005",Sri Lanka
2194,ODI # 2295,India,Sri Lanka,7 wickets,Rajkot,"Nov 9, 2005",India
2195,ODI # 2296,India,Sri Lanka,5 wickets,Vadodara,"Nov 12, 2005",India
2196,ODI # 2297,India,South Africa,5 wickets,Hyderabad,"Nov 16, 2005",South Africa
2197,ODI # 2298,India,South Africa,6 wickets,Bengaluru,"Nov 19, 2005",India
2198,ODI # 2299,India,South Africa,10 wickets,Kolkata,"Nov 25, 2005",South Africa
2199,ODI # 2300,India,South Africa,5 wickets,Mumbai,"Nov 28, 2005",India
2200,ODI # 2301,New Zealand,Australia,147 runs,Auckland,"Dec 3, 2005",Australia
2201,ODI # 2302,New Zealand,Australia,2 runs,Wellington,"Dec 7, 2005",Australia
2202,ODI # 2303,New Zealand,Australia,2 wickets,Christchurch,"Dec 10, 2005",New Zealand
2203,ODI # 2304,Pakistan,England,42 runs,Lahore,"Dec 10, 2005",England
2204,ODI # 2305,Pakistan,England,7 wickets,Lahore,"Dec 12, 2005",Pakistan
2205,ODI # 2306,Pakistan,England,165 runs,Karachi,"Dec 15, 2005",Pakistan
2206,ODI # 2307,Pakistan,England,13 runs,Rawalpindi,"Dec 19, 2005",Pakistan
2207,ODI # 2308,Pakistan,England,6 runs,Rawalpindi,"Dec 21, 2005",England
2208,ODI # 2309,New Zealand,Sri Lanka,7 wickets,Queenstown,"Dec 31, 2005",New Zealand
2209,ODI # 2310,New Zealand,Sri Lanka,5 wickets,Christchurch,"Jan 3, 2006",New Zealand
2210,ODI # 2311,New Zealand,Sri Lanka,21 runs,Wellington,"Jan 6, 2006",New Zealand
2211,ODI # 2312,New Zealand,Sri Lanka,20 runs,Napier,"Jan 8, 2006",Sri Lanka
2212,ODI # 2313,Australia,Sri Lanka,116 runs,Melbourne,"Jan 13, 2006",Australia
2213,ODI # 2314,Australia,South Africa,5 wickets,Brisbane,"Jan 15, 2006",South Africa
2214,ODI # 2315,South Africa,Sri Lanka,94 runs,Brisbane,"Jan 17, 2006",Sri Lanka
2215,ODI # 2316,Australia,South Africa,59 runs,Melbourne,"Jan 20, 2006",Australia
2216,ODI # 2317,Australia,Sri Lanka,51 runs,Sydney,"Jan 22, 2006",Sri Lanka
2217,ODI # 2318,South Africa,Sri Lanka,9 runs,Adelaide,"Jan 24, 2006",South Africa
2218,ODI # 2319,Australia,Sri Lanka,5 wickets,Adelaide,"Jan 26, 2006",Australia
2219,ODI # 2320,Australia,Sri Lanka,6 wickets,Perth,"Jan 29, 2006",Australia
2220,ODI # 2321,South Africa,Sri Lanka,5 wickets,Perth,"Jan 31, 2006",South Africa
2221,ODI # 2322,Australia,South Africa,80 runs,Melbourne,"Feb 3, 2006",Australia
2222,ODI # 2323,Australia,South Africa,57 runs,Sydney,"Feb 5, 2006",Australia
2223,ODI # 2324,Pakistan,India,7 runs,Peshawar,"Feb 6, 2006",Pakistan
2224,ODI # 2325,South Africa,Sri Lanka,76 runs,Hobart,"Feb 7, 2006",Sri Lanka
2225,ODI # 2326,Australia,Sri Lanka,22 runs,Adelaide,"Feb 10, 2006",Sri Lanka
2226,ODI # 2327,Pakistan,India,7 wickets,Rawalpindi,"Feb 11, 2006",India
2227,ODI # 2328,Australia,Sri Lanka,167 runs,Sydney,"Feb 12, 2006",Australia
2228,ODI # 2329,Pakistan,India,5 wickets,Lahore,"Feb 13, 2006",India
2229,ODI # 2330,Australia,Sri Lanka,9 wickets,Brisbane,"Feb 14, 2006",Australia
2230,ODI # 2331,Pakistan,India,5 wickets,Multan,"Feb 16, 2006",India
2231,ODI # 2332,New Zealand,West Indies,81 runs,Wellington,"Feb 18, 2006",New Zealand
2232,ODI # 2333,Pakistan,India,8 wickets,Karachi,"Feb 19, 2006",India
2233,ODI # 2334,Bangladesh,Sri Lanka,5 wickets,Bogra,"Feb 20, 2006",Sri Lanka
2234,ODI # 2335,New Zealand,West Indies,3 wickets,Queenstown,"Feb 22, 2006",New Zealand
2235,ODI # 2336,Bangladesh,Sri Lanka,4 wickets,Bogra,"Feb 22, 2006",Bangladesh
2236,ODI # 2337,New Zealand,West Indies,21 runs,Christchurch,"Feb 25, 2006",New Zealand
2237,ODI # 2338,Bangladesh,Sri Lanka,78 runs,Chittagong,"Feb 25, 2006",Sri Lanka
2238,ODI # 2339,Zimbabwe,Kenya,8 wickets,Bulawayo,"Feb 25, 2006",Zimbabwe
2239,ODI # 2340,Zimbabwe,Kenya,79 runs,Bulawayo,"Feb 26, 2006",Kenya
2240,ODI # 2341,South Africa,Australia,6 wickets,Centurion,"Feb 26, 2006",South Africa
2241,ODI # 2342,New Zealand,West Indies,91 runs,Napier,"Mar 1, 2006",New Zealand
2242,ODI # 2343,Zimbabwe,Kenya,65 runs,Harare,"Mar 1, 2006",Kenya
2243,ODI # 2344,Zimbabwe,Kenya,109 runs,Harare,"Mar 3, 2006",Zimbabwe
2244,ODI # 2345,South Africa,Australia,196 runs,Cape Town,"Mar 3, 2006",South Africa
2245,ODI # 2346,New Zealand,West Indies,3 wickets,Auckland,"Mar 4, 2006",West Indies
2246,ODI # 2347,South Africa,Australia,24 runs,Port Elizabeth,"Mar 5, 2006",Australia
2247,ODI # 2348,South Africa,Australia,1 wicket,Durban,"Mar 10, 2006",Australia
2248,ODI # 2349,South Africa,Australia,1 wicket,Johannesburg,"Mar 12, 2006",South Africa
2249,ODI # 2350,Bangladesh,Kenya,131 runs,Bogra,"Mar 17, 2006",Bangladesh
2250,ODI # 2352,Sri Lanka,Pakistan,4 wickets,Colombo,"Mar 19, 2006",Pakistan
2251,ODI # 2353,Bangladesh,Kenya,9 wickets,Khulna,"Mar 20, 2006",Bangladesh
2252,ODI # 2354,Sri Lanka,Pakistan,4 wickets,Colombo,"Mar 22, 2006",Pakistan
2253,ODI # 2355,Bangladesh,Kenya,20 runs,Fatullah,"Mar 23, 2006",Bangladesh
2254,ODI # 2356,Bangladesh,Kenya,7 wickets,Fatullah,"Mar 25, 2006",Bangladesh
2255,ODI # 2357,India,England,39 runs,Delhi,"Mar 28, 2006",India
2256,ODI # 2358,India,England,4 wickets,Faridabad,"Mar 31, 2006",India
2257,ODI # 2359,India,England,49 runs,Margao,"Apr 3, 2006",India
2258,ODI # 2360,India,England,4 wickets,Kochi,"Apr 6, 2006",India
2259,ODI # 2361,India,England,5 wickets,Jamshedpur,"Apr 12, 2006",England
2260,ODI # 2362,India,England,7 wickets,Indore,"Apr 15, 2006",India
2261,ODI # 2363,India,Pakistan,6 wickets,Abu Dhabi,"Apr 18, 2006",Pakistan
2262,ODI # 2364,India,Pakistan,51 runs,Abu Dhabi,"Apr 19, 2006",India
2263,ODI # 2365,Bangladesh,Australia,4 wickets,Chittagong,"Apr 23, 2006",Australia
2264,ODI # 2366,Bangladesh,Australia,67 runs,Fatullah,"Apr 26, 2006",Australia
2265,ODI # 2367,Bangladesh,Australia,9 wickets,Fatullah,"Apr 28, 2006",Australia
2266,ODI # 2368,West Indies,Zimbabwe,5 wickets,St John's,"Apr 29, 2006",West Indies
2267,ODI # 2369,West Indies,Zimbabwe,98 runs,St John's,"Apr 30, 2006",West Indies
2268,ODI # 2370,West Indies,Zimbabwe,82 runs,Georgetown,"May 7, 2006",West Indies
2269,ODI # 2371,West Indies,Zimbabwe,10 wickets,Gros Islet,"May 10, 2006",West Indies
2270,ODI # 2373,West Indies,Zimbabwe,104 runs,Port of Spain,"May 14, 2006",West Indies
2271,ODI # 2374,Canada,Zimbabwe,143 runs,Port of Spain,"May 16, 2006",Zimbabwe
2272,ODI # 2375,Bermuda,Canada,3 wickets,Port of Spain,"May 17, 2006",Bermuda
2273,ODI # 2376,Bermuda,Zimbabwe,194 runs,Port of Spain,"May 18, 2006",Zimbabwe
2274,ODI # 2377,West Indies,India,5 wickets,Kingston,"May 18, 2006",India
2275,ODI # 2378,Bermuda,Zimbabwe,83 runs,Port of Spain,"May 20, 2006",Zimbabwe
2276,ODI # 2379,West Indies,India,1 run,Kingston,"May 20, 2006",West Indies
2277,ODI # 2380,West Indies,India,4 wickets,Basseterre,"May 23, 2006",West Indies
2278,ODI # 2381,West Indies,India,6 wickets,Port of Spain,"May 26, 2006",West Indies
2279,ODI # 2382,West Indies,India,19 runs,Port of Spain,"May 28, 2006",West Indies
2280,ODI # 2383,Ireland,England,38 runs,Belfast,"Jun 13, 2006",England
2281,ODI # 2384,England,Sri Lanka,20 runs,Lord's,"Jun 17, 2006",Sri Lanka
2282,ODI # 2385,England,Sri Lanka,46 runs,The Oval,"Jun 20, 2006",Sri Lanka
2283,ODI # 2386,England,Sri Lanka,8 wickets,Chester,"Jun 24, 2006",Sri Lanka
2284,ODI # 2387,Scotland,Pakistan,5 wickets,Edinburgh,"Jun 27, 2006",Pakistan
2285,ODI # 2388,England,Sri Lanka,33 runs,Manchester,"Jun 28, 2006",Sri Lanka
2286,ODI # 2389,England,Sri Lanka,8 wickets,Leeds,"Jul 1, 2006",Sri Lanka
2287,ODI # 2390,Netherlands,Sri Lanka,195 runs,Amstelveen,"Jul 4, 2006",Sri Lanka
2288,ODI # 2391,Netherlands,Sri Lanka,55 runs,Amstelveen,"Jul 6, 2006",Sri Lanka
2289,ODI # 2392,Zimbabwe,Bangladesh,2 wickets,Harare,"Jul 29, 2006",Zimbabwe
2290,ODI # 2393,Zimbabwe,Bangladesh,62 runs,Harare,"Jul 30, 2006",Bangladesh
2291,ODI # 2394,Zimbabwe,Bangladesh,2 wickets,Harare,"Aug 2, 2006",Zimbabwe
2292,ODI # 2395,Zimbabwe,Bangladesh,7 wickets,Harare,"Aug 4, 2006",Zimbabwe
2293,ODI # 2396,Scotland,Ireland,85 runs,Ayr,"Aug 5, 2006",Ireland
2294,ODI # 2397,Canada,Kenya,108 runs,Toronto,"Aug 5, 2006",Kenya
