Scorecard,Team 1,Team 2,Margin,Ground,Match Date,Winner
ODI # 2136,England,New Zealand,7 wickets,Chester-le-Street,"Jun 29, 2004",New Zealand
ODI # 2137,England,West Indies,7 wickets,Leeds,"Jul 1, 2004",England
ODI # 2138,New Zealand,West Indies,5 wickets,Cardiff,"Jul 3, 2004",New Zealand
ODI # 2139,England,New Zealand,6 wickets,Bristol,"Jul 4, 2004",New Zealand
ODI # 2140,England,West Indies,7 wickets,Lord's,"Jul 6, 2004",West Indies
ODI # 2142,New Zealand,West Indies,107 runs,Lord's,"Jul 10, 2004",New Zealand
ODI # 2143,Bangladesh,Hong Kong,116 runs,Colombo (SSC),"Jul 16, 2004",Bangladesh
ODI # 2144,India,U.A.E.,116 runs,Dambulla,"Jul 16, 2004",India
ODI # 2145,Bangladesh,Pakistan,76 runs,Colombo (SSC),"Jul 17, 2004",Pakistan
ODI # 2146,Sri Lanka,U.A.E.,116 runs,Dambulla,"Jul 17, 2004",Sri Lanka
ODI # 2147,Hong Kong,Pakistan,173 runs,Colombo (SSC),"Jul 18, 2004",Pakistan
ODI # 2148,Sri Lanka,India,12 runs,Dambulla,"Jul 18, 2004",Sri Lanka
ODI # 2149,Bangladesh,India,8 wickets,Colombo (SSC),"Jul 21, 2004",India
ODI # 2150,Sri Lanka,Pakistan,7 wickets,Colombo (RPS),"Jul 21, 2004",Sri Lanka
ODI # 2151,Sri Lanka,Bangladesh,10 wickets,Colombo (RPS),"Jul 23, 2004",Sri Lanka
ODI # 2152,India,Pakistan,59 runs,Colombo (RPS),"Jul 25, 2004",Pakistan
ODI # 2153,Sri Lanka,India,4 runs,Colombo (RPS),"Jul 27, 2004",India
ODI # 2154,Bangladesh,Pakistan,6 wickets,Colombo (RPS),"Jul 29, 2004",Pakistan
ODI # 2155,Sri Lanka,India,25 runs,Colombo (RPS),"Aug 1, 2004",Sri Lanka
ODI # 2156,Sri Lanka,South Africa,3 wickets,Colombo (RPS),"Aug 20, 2004",Sri Lanka
ODI # 2157,India,Pakistan,66 runs,Amstelveen,"Aug 21, 2004",Pakistan
ODI # 2158,Sri Lanka,South Africa,37 runs,Colombo (RPS),"Aug 22, 2004",Sri Lanka
ODI # 2160,Sri Lanka,South Africa,4 wickets,Dambulla,"Aug 25, 2004",Sri Lanka
ODI # 2161,Sri Lanka,South Africa,7 wickets,Dambulla,"Aug 28, 2004",Sri Lanka
ODI # 2162,Australia,Pakistan,17 runs,Amstelveen,"Aug 28, 2004",Australia
ODI # 2163,Sri Lanka,South Africa,49 runs,Colombo (SSC),"Aug 31, 2004",Sri Lanka
ODI # 2164,England,India,7 wickets,Nottingham,"Sep 1, 2004",England
ODI # 2165,England,India,70 runs,The Oval,"Sep 3, 2004",England
ODI # 2166,Australia,Pakistan,10 runs,Lord's,"Sep 4, 2004",Australia
ODI # 2167,England,India,23 runs,Lord's,"Sep 5, 2004",India
ODI # 2168,England,Zimbabwe,152 runs,Birmingham,"Sep 10-11, 2004",England
ODI # 2169,New Zealand,U.S.A.,210 runs,The Oval,"Sep 10, 2004",New Zealand
ODI # 2170,India,Kenya,98 runs,Southampton,"Sep 11, 2004",India
ODI # 2171,Bangladesh,South Africa,9 wickets,Birmingham,"Sep 12, 2004",South Africa
ODI # 2172,Australia,U.S.A.,9 wickets,Southampton,"Sep 13, 2004",Australia
ODI # 2173,Sri Lanka,Zimbabwe,4 wickets,The Oval,"Sep 14, 2004",Sri Lanka
ODI # 2174,Kenya,Pakistan,7 wickets,Birmingham,"Sep 14-15, 2004",Pakistan
ODI # 2175,Bangladesh,West Indies,138 runs,Southampton,"Sep 15, 2004",West Indies
ODI # 2176,Australia,New Zealand,7 wickets,The Oval,"Sep 16, 2004",Australia
ODI # 2177,England,Sri Lanka,49 runs,Southampton,"Sep 17-18, 2004",England
ODI # 2178,South Africa,West Indies,5 wickets,The Oval,"Sep 18-19, 2004",West Indies
ODI # 2179,India,Pakistan,3 wickets,Birmingham,"Sep 19, 2004",Pakistan
ODI # 2180,England,Australia,6 wickets,Birmingham,"Sep 21, 2004",England
ODI # 2181,Pakistan,West Indies,7 wickets,Southampton,"Sep 22, 2004",West Indies
ODI # 2182,England,West Indies,2 wickets,The Oval,"Sep 25, 2004",West Indies
ODI # 2183,Pakistan,Zimbabwe,144 runs,Multan,"Sep 30, 2004",Pakistan
ODI # 2184,Pakistan,Zimbabwe,3 wickets,Peshawar,"Oct 3, 2004",Pakistan
ODI # 2185,Pakistan,Sri Lanka,8 wickets,Karachi,"Oct 6, 2004",Pakistan
ODI # 2186,Sri Lanka,Zimbabwe,7 wickets,Rawalpindi,"Oct 9, 2004",Sri Lanka
ODI # 2187,Pakistan,Sri Lanka,6 wickets,Lahore,"Oct 14, 2004",Pakistan
ODI # 2188,Pakistan,Sri Lanka,119 runs,Lahore,"Oct 16, 2004",Sri Lanka
ODI # 2189,Bangladesh,New Zealand,138 runs,Chittagong,"Nov 2, 2004",New Zealand
ODI # 2190,Bangladesh,New Zealand,3 wickets,Dhaka,"Nov 5, 2004",New Zealand
ODI # 2191,Bangladesh,New Zealand,83 runs,Dhaka,"Nov 7, 2004",New Zealand
ODI # 2192,India,Pakistan,6 wickets,Kolkata,"Nov 13, 2004",Pakistan
ODI # 2193,Zimbabwe,England,5 wickets,Harare,"Nov 28, 2004",England
ODI # 2194,Zimbabwe,England,161 runs,Harare,"Dec 1, 2004",England
ODI # 2195,Zimbabwe,England,8 wickets,Bulawayo,"Dec 4, 2004",England
ODI # 2196,Australia,New Zealand,4 wickets,Melbourne (Docklands),"Dec 5, 2004",New Zealand
ODI # 2197,Zimbabwe,England,74 runs,Bulawayo,"Dec 5, 2004",England
ODI # 2198,Australia,New Zealand,17 runs,Sydney,"Dec 8, 2004",Australia
ODI # 2199,Bangladesh,India,11 runs,Chittagong,"Dec 23, 2004",India
ODI # 2200,New Zealand,Sri Lanka,7 wickets,Auckland,"Dec 26, 2004",New Zealand
ODI # 2201,Bangladesh,India,15 runs,Dhaka,"Dec 26, 2004",Bangladesh
ODI # 2202,Bangladesh,India,91 runs,Dhaka,"Dec 27, 2004",India
ODI # 2204,Australia,West Indies,116 runs,Melbourne,"Jan 14, 2005",Australia
ODI # 2205,Australia,Pakistan,4 wickets,Hobart,"Jan 16, 2005",Australia
ODI # 2206,Pakistan,West Indies,6 wickets,Brisbane,"Jan 19, 2005",Pakistan
ODI # 2207,Bangladesh,Zimbabwe,22 runs,Dhaka,"Jan 20, 2005",Zimbabwe
ODI # 2209,Australia,Pakistan,9 wickets,Sydney,"Jan 23, 2005",Australia
ODI # 2210,Bangladesh,Zimbabwe,31 runs,Chittagong,"Jan 24, 2005",Zimbabwe
ODI # 2211,Bangladesh,Zimbabwe,40 runs,Chittagong,"Jan 26, 2005",Bangladesh
ODI # 2212,Australia,West Indies,73 runs,Adelaide,"Jan 26, 2005",Australia
ODI # 2213,Pakistan,West Indies,58 runs,Adelaide,"Jan 28, 2005",West Indies
ODI # 2214,Bangladesh,Zimbabwe,58 runs,Dhaka,"Jan 29, 2005",Bangladesh
ODI # 2215,Australia,Pakistan,3 wickets,Perth,"Jan 30, 2005",Pakistan
ODI # 2216,South Africa,England,26 runs,Johannesburg,"Jan 30, 2005",England
ODI # 2217,Bangladesh,Zimbabwe,8 wickets,Dhaka,"Jan 31, 2005",Bangladesh
ODI # 2218,Pakistan,West Indies,30 runs,Perth,"Feb 1, 2005",Pakistan
ODI # 2220,Australia,Pakistan,18 runs,Melbourne,"Feb 4, 2005",Australia
ODI # 2221,South Africa,England,3 wickets,Port Elizabeth,"Feb 4, 2005",South Africa
ODI # 2222,Australia,Pakistan,31 runs,Sydney,"Feb 6, 2005",Australia
ODI # 2223,South Africa,England,108 runs,Cape Town,"Feb 6, 2005",South Africa
ODI # 2224,South Africa,England,7 runs,East London,"Feb 9, 2005",South Africa
ODI # 2226,South Africa,England,3 wickets,Centurion,"Feb 13, 2005",South Africa
ODI # 2227,New Zealand,Australia,10 runs,Wellington,"Feb 19, 2005",Australia
ODI # 2228,New Zealand,Australia,106 runs,Christchurch,"Feb 22, 2005",Australia
ODI # 2229,South Africa,Zimbabwe,165 runs,Johannesburg,"Feb 25, 2005",South Africa
ODI # 2230,New Zealand,Australia,86 runs,Auckland,"Feb 26, 2005",Australia
ODI # 2231,South Africa,Zimbabwe,131 runs,Durban,"Feb 27, 2005",South Africa
ODI # 2232,New Zealand,Australia,7 wickets,Wellington,"Mar 1, 2005",Australia
ODI # 2233,South Africa,Zimbabwe,5 wickets,Port Elizabeth,"Mar 2, 2005",South Africa
ODI # 2234,New Zealand,Australia,122 runs,Napier,"Mar 5, 2005",Australia
ODI # 2235,India,Pakistan,87 runs,Kochi,"Apr 2, 2005",India
ODI # 2236,India,Pakistan,58 runs,Visakhapatnam,"Apr 5, 2005",India
ODI # 2237,India,Pakistan,106 runs,Jamshedpur,"Apr 9, 2005",Pakistan
ODI # 2238,India,Pakistan,3 wickets,Ahmedabad,"Apr 12, 2005",Pakistan
ODI # 2239,India,Pakistan,5 wickets,Kanpur,"Apr 15, 2005",Pakistan
ODI # 2240,India,Pakistan,159 runs,Delhi,"Apr 17, 2005",Pakistan
ODI # 2241,West Indies,South Africa,8 wickets,Kingston,"May 7, 2005",South Africa
ODI # 2242,West Indies,South Africa,8 wickets,Kingston,"May 8, 2005",South Africa
ODI # 2243,West Indies,South Africa,1 run,Bridgetown,"May 11, 2005",South Africa
ODI # 2244,West Indies,South Africa,6 wickets,Port of Spain,"May 14, 2005",South Africa
ODI # 2245,West Indies,South Africa,7 wickets,Port of Spain,"May 15, 2005",South Africa
ODI # 2246,West Indies,Pakistan,59 runs,Kingstown,"May 18, 2005",Pakistan
ODI # 2247,West Indies,Pakistan,40 runs,Gros Islet,"May 21, 2005",Pakistan
ODI # 2248,West Indies,Pakistan,22 runs,Gros Islet,"May 22, 2005",Pakistan
ODI # 2249,England,Bangladesh,10 wickets,The Oval,"Jun 16, 2005",England
ODI # 2250,Australia,Bangladesh,5 wickets,Cardiff,"Jun 18, 2005",Bangladesh
ODI # 2251,England,Australia,3 wickets,Bristol,"Jun 19, 2005",England
ODI # 2252,England,Bangladesh,168 runs,Nottingham,"Jun 21, 2005",England
ODI # 2253,England,Australia,57 runs,Chester-le-Street,"Jun 23, 2005",Australia
ODI # 2254,Australia,Bangladesh,10 wickets,Manchester,"Jun 25, 2005",Australia
ODI # 2255,England,Bangladesh,5 wickets,Leeds,"Jun 26, 2005",England
ODI # 2257,Australia,Bangladesh,6 wickets,Canterbury,"Jun 30, 2005",Australia
ODI # 2259,England,Australia,9 wickets,Leeds,"Jul 7, 2005",England
ODI # 2260,England,Australia,7 wickets,Lord's,"Jul 10, 2005",Australia
ODI # 2261,England,Australia,8 wickets,The Oval,"Jul 12, 2005",Australia
ODI # 2262,Sri Lanka,India,3 wickets,Dambulla,"Jul 30, 2005",Sri Lanka
ODI # 2263,India,West Indies,6 wickets,Dambulla,"Jul 31, 2005",India
ODI # 2264,Sri Lanka,West Indies,50 runs,Dambulla,"Aug 2, 2005",Sri Lanka
ODI # 2265,Sri Lanka,India,4 wickets,Dambulla,"Aug 3, 2005",Sri Lanka
ODI # 2266,Sri Lanka,West Indies,33 runs,Colombo (RPS),"Aug 6, 2005",West Indies
ODI # 2267,India,West Indies,7 runs,Colombo (RPS),"Aug 7, 2005",India
ODI # 2268,Sri Lanka,India,18 runs,Colombo (RPS),"Aug 9, 2005",Sri Lanka
ODI # 2272,Zimbabwe,New Zealand,192 runs,Bulawayo,"Aug 24, 2005",New Zealand
ODI # 2273,India,New Zealand,51 runs,Bulawayo,"Aug 26, 2005",New Zealand
ODI # 2274,Zimbabwe,India,161 runs,Harare,"Aug 29, 2005",India
ODI # 2275,Sri Lanka,Bangladesh,88 runs,Colombo (SSC),"Aug 31, 2005",Sri Lanka
ODI # 2276,Zimbabwe,New Zealand,27 runs,Harare,"Aug 31, 2005",New Zealand
ODI # 2277,Sri Lanka,Bangladesh,75 runs,Colombo (RPS),"Sep 2, 2005",Sri Lanka
ODI # 2278,India,New Zealand,6 wickets,Harare,"Sep 2, 2005",India
ODI # 2279,Sri Lanka,Bangladesh,6 wickets,Colombo (RPS),"Sep 4, 2005",Sri Lanka
ODI # 2280,Zimbabwe,India,4 wickets,Harare,"Sep 4, 2005",India
ODI # 2281,India,New Zealand,6 wickets,Harare,"Sep 6, 2005",New Zealand
ODI # 2285,South Africa,New Zealand,2 wickets,Bloemfontein,"Oct 23, 2005",South Africa
ODI # 2286,India,Sri Lanka,152 runs,Nagpur,"Oct 25, 2005",India
ODI # 2287,India,Sri Lanka,8 wickets,Mohali,"Oct 28, 2005",India
ODI # 2288,South Africa,New Zealand,19 runs,Cape Town,"Oct 28, 2005",South Africa
ODI # 2289,South Africa,New Zealand,4 wickets,Port Elizabeth,"Oct 30, 2005",South Africa
ODI # 2290,India,Sri Lanka,6 wickets,Jaipur,"Oct 31, 2005",India
ODI # 2291,India,Sri Lanka,4 wickets,Pune,"Nov 3, 2005",India
ODI # 2293,South Africa,New Zealand,5 wickets,Centurion,"Nov 6, 2005",South Africa
ODI # 2294,India,Sri Lanka,5 wickets,Ahmedabad,"Nov 6, 2005",Sri Lanka
ODI # 2295,India,Sri Lanka,7 wickets,Rajkot,"Nov 9, 2005",India
ODI # 2296,India,Sri Lanka,5 wickets,Vadodara,"Nov 12, 2005",India
ODI # 2297,India,South Africa,5 wickets,Hyderabad (Deccan),"Nov 16, 2005",South Africa
ODI # 2298,India,South Africa,6 wickets,Bengaluru,"Nov 19, 2005",India
ODI # 2299,India,South Africa,10 wickets,Kolkata,"Nov 25, 2005",South Africa
ODI # 2300,India,South Africa,5 wickets,Mumbai,"Nov 28, 2005",India
ODI # 2301,New Zealand,Australia,147 runs,Auckland,"Dec 3, 2005",Australia
ODI # 2302,New Zealand,Australia,2 runs,Wellington,"Dec 7, 2005",Australia
ODI # 2303,New Zealand,Australia,2 wickets,Christchurch,"Dec 10, 2005",New Zealand
ODI # 2304,Pakistan,England,42 runs,Lahore,"Dec 10, 2005",England
ODI # 2305,Pakistan,England,7 wickets,Lahore,"Dec 12, 2005",Pakistan
ODI # 2306,Pakistan,England,165 runs,Karachi,"Dec 15, 2005",Pakistan
ODI # 2307,Pakistan,England,13 runs,Rawalpindi,"Dec 19, 2005",Pakistan
ODI # 2308,Pakistan,England,6 runs,Rawalpindi,"Dec 21, 2005",England
ODI # 2309,New Zealand,Sri Lanka,7 wickets,Queenstown,"Dec 31, 2005",New Zealand
ODI # 2310,New Zealand,Sri Lanka,5 wickets,Christchurch,"Jan 3, 2006",New Zealand
ODI # 2311,New Zealand,Sri Lanka,21 runs,Wellington,"Jan 6, 2006",New Zealand
ODI # 2312,New Zealand,Sri Lanka,20 runs,Napier,"Jan 8, 2006",Sri Lanka
ODI # 2313,Australia,Sri Lanka,116 runs,Melbourne (Docklands),"Jan 13, 2006",Australia
ODI # 2314,Australia,South Africa,5 wickets,Brisbane,"Jan 15, 2006",South Africa
ODI # 2315,South Africa,Sri Lanka,94 runs,Brisbane,"Jan 17, 2006",Sri Lanka
ODI # 2316,Australia,South Africa,59 runs,Melbourne (Docklands),"Jan 20, 2006",Australia
ODI # 2317,Australia,Sri Lanka,51 runs,Sydney,"Jan 22, 2006",Sri Lanka
ODI # 2318,South Africa,Sri Lanka,9 runs,Adelaide,"Jan 24, 2006",South Africa
ODI # 2319,Australia,Sri Lanka,5 wickets,Adelaide,"Jan 26, 2006",Australia
ODI # 2320,Australia,Sri Lanka,6 wickets,Perth,"Jan 29, 2006",Australia
ODI # 2321,South Africa,Sri Lanka,5 wickets,Perth,"Jan 31, 2006",South Africa
ODI # 2322,Australia,South Africa,80 runs,Melbourne (Docklands),"Feb 3, 2006",Australia
ODI # 2323,Australia,South Africa,57 runs,Sydney,"Feb 5, 2006",Australia
ODI # 2324,Pakistan,India,7 runs,Peshawar,"Feb 6, 2006",Pakistan
ODI # 2325,South Africa,Sri Lanka,76 runs,Hobart,"Feb 7, 2006",Sri Lanka
ODI # 2326,Australia,Sri Lanka,22 runs,Adelaide,"Feb 10, 2006",Sri Lanka
ODI # 2327,Pakistan,India,7 wickets,Rawalpindi,"Feb 11, 2006",India
ODI # 2328,Australia,Sri Lanka,167 runs,Sydney,"Feb 12, 2006",Australia
ODI # 2329,Pakistan,India,5 wickets,Lahore,"Feb 13, 2006",India
ODI # 2330,Australia,Sri Lanka,9 wickets,Brisbane,"Feb 14, 2006",Australia
ODI # 2331,Pakistan,India,5 wickets,Multan,"Feb 16, 2006",India
ODI # 2332,New Zealand,West Indies,81 runs,Wellington,"Feb 18, 2006",New Zealand
ODI # 2333,Pakistan,India,8 wickets,Karachi,"Feb 19, 2006",India
ODI # 2334,Bangladesh,Sri Lanka,5 wickets,Bogra,"Feb 20, 2006",Sri Lanka
ODI # 2335,New Zealand,West Indies,3 wickets,Queenstown,"Feb 22, 2006",New Zealand
ODI # 2336,Bangladesh,Sri Lanka,4 wickets,Bogra,"Feb 22, 2006",Bangladesh
ODI # 2337,New Zealand,West Indies,21 runs,Christchurch,"Feb 25, 2006",New Zealand
ODI # 2338,Bangladesh,Sri Lanka,78 runs,Chittagong,"Feb 25, 2006",Sri Lanka
ODI # 2339,Zimbabwe,Kenya,8 wickets,Bulawayo,"Feb 25, 2006",Zimbabwe
ODI # 2340,Zimbabwe,Kenya,79 runs,Bulawayo,"Feb 26, 2006",Kenya
ODI # 2341,South Africa,Australia,6 wickets,Centurion,"Feb 26, 2006",South Africa
ODI # 2342,New Zealand,West Indies,91 runs,Napier,"Mar 1, 2006",New Zealand
ODI # 2343,Zimbabwe,Kenya,65 runs,Harare,"Mar 1, 2006",Kenya
ODI # 2344,Zimbabwe,Kenya,109 runs,Harare,"Mar 3, 2006",Zimbabwe
ODI # 2345,South Africa,Australia,196 runs,Cape Town,"Mar 3, 2006",South Africa
ODI # 2346,New Zealand,West Indies,3 wickets,Auckland,"Mar 4, 2006",West Indies
ODI # 2347,South Africa,Australia,24 runs,Port Elizabeth,"Mar 5, 2006",Australia
ODI # 2348,South Africa,Australia,1 wicket,Durban,"Mar 10, 2006",Australia
ODI # 2349,South Africa,Australia,1 wicket,Johannesburg,"Mar 12, 2006",South Africa
ODI # 2350,Bangladesh,Kenya,131 runs,Bogra,"Mar 17, 2006",Bangladesh
ODI # 2352,Sri Lanka,Pakistan,4 wickets,Colombo (RPS),"Mar 19, 2006",Pakistan
ODI # 2353,Bangladesh,Kenya,9 wickets,Khulna,"Mar 20, 2006",Bangladesh
ODI # 2354,Sri Lanka,Pakistan,4 wickets,Colombo (SSC),"Mar 22, 2006",Pakistan
ODI # 2355,Bangladesh,Kenya,20 runs,Fatullah,"Mar 23, 2006",Bangladesh
ODI # 2356,Bangladesh,Kenya,7 wickets,Fatullah,"Mar 25, 2006",Bangladesh
ODI # 2357,India,England,39 runs,Delhi,"Mar 28, 2006",India
ODI # 2358,India,England,4 wickets,Faridabad,"Mar 31, 2006",India
ODI # 2359,India,England,49 runs,Margao,"Apr 3, 2006",India
ODI # 2360,India,England,4 wickets,Kochi,"Apr 6, 2006",India
ODI # 2361,India,England,5 wickets,Jamshedpur,"Apr 12, 2006",England
ODI # 2362,India,England,7 wickets,Indore,"Apr 15, 2006",India
ODI # 2363,India,Pakistan,6 wickets,Abu Dhabi,"Apr 18, 2006",Pakistan
ODI # 2364,India,Pakistan,51 runs,Abu Dhabi,"Apr 19, 2006",India
ODI # 2365,Bangladesh,Australia,4 wickets,Chittagong,"Apr 23, 2006",Australia
ODI # 2366,Bangladesh,Australia,67 runs,Fatullah,"Apr 26, 2006",Australia
ODI # 2367,Bangladesh,Australia,9 wickets,Fatullah,"Apr 28, 2006",Australia
ODI # 2368,West Indies,Zimbabwe,5 wickets,St John's,"Apr 29, 2006",West Indies
ODI # 2369,West Indies,Zimbabwe,98 runs,St John's,"Apr 30, 2006",West Indies
ODI # 2370,West Indies,Zimbabwe,82 runs,Georgetown,"May 7, 2006",West Indies
ODI # 2371,West Indies,Zimbabwe,10 wickets,Gros Islet,"May 10, 2006",West Indies
ODI # 2373,West Indies,Zimbabwe,104 runs,Port of Spain,"May 14, 2006",West Indies
ODI # 2374,Canada,Zimbabwe,143 runs,Port of Spain,"May 16, 2006",Zimbabwe
ODI # 2375,Bermuda,Canada,3 wickets,Port of Spain,"May 17, 2006",Bermuda
ODI # 2376,Bermuda,Zimbabwe,194 runs,Port of Spain,"May 18, 2006",Zimbabwe
ODI # 2377,West Indies,India,5 wickets,Kingston,"May 18, 2006",India
ODI # 2378,Bermuda,Zimbabwe,83 runs,Port of Spain,"May 20, 2006",Zimbabwe
ODI # 2379,West Indies,India,1 run,Kingston,"May 20, 2006",West Indies
ODI # 2380,West Indies,India,4 wickets,Basseterre,"May 23, 2006",West Indies
ODI # 2381,West Indies,India,6 wickets,Port of Spain,"May 26, 2006",West Indies
ODI # 2382,West Indies,India,19 runs,Port of Spain,"May 28, 2006",West Indies
ODI # 2383,Ireland,England,38 runs,Belfast,"Jun 13, 2006",England
ODI # 2384,England,Sri Lanka,20 runs,Lord's,"Jun 17, 2006",Sri Lanka
ODI # 2385,England,Sri Lanka,46 runs,The Oval,"Jun 20, 2006",Sri Lanka
ODI # 2386,England,Sri Lanka,8 wickets,Chester-le-Street,"Jun 24, 2006",Sri Lanka
ODI # 2387,Scotland,Pakistan,5 wickets,Edinburgh,"Jun 27, 2006",Pakistan
ODI # 2388,England,Sri Lanka,33 runs,Manchester,"Jun 28, 2006",Sri Lanka
ODI # 2389,England,Sri Lanka,8 wickets,Leeds,"Jul 1, 2006",Sri Lanka
ODI # 2390,Netherlands,Sri Lanka,195 runs,Amstelveen,"Jul 4, 2006",Sri Lanka
ODI # 2391,Netherlands,Sri Lanka,55 runs,Amstelveen,"Jul 6, 2006",Sri Lanka
ODI # 2392,Zimbabwe,Bangladesh,2 wickets,Harare,"Jul 29, 2006",Zimbabwe
ODI # 2393,Zimbabwe,Bangladesh,62 runs,Harare,"Jul 30, 2006",Bangladesh
ODI # 2394,Zimbabwe,Bangladesh,2 wickets,Harare,"Aug 2, 2006",Zimbabwe
ODI # 2395,Zimbabwe,Bangladesh,7 wickets,Harare,"Aug 4, 2006",Zimbabwe
ODI # 2396,Scotland,Ireland,85 runs,Ayr,"Aug 5, 2006",Ireland
ODI # 2397,Canada,Kenya,108 runs,Toronto,"Aug 5, 2006",Kenya
ODI # 2398,Zimbabwe,Bangladesh,8 wickets,Harare,"Aug 6, 2006",Bangladesh
ODI # 2399,Scotland,Netherlands,4 wickets,Ayr,"Aug 6, 2006",Scotland
ODI # 2400,Canada,Kenya,5 wickets,Toronto,"Aug 6, 2006",Kenya
ODI # 2402,Kenya,Bangladesh,6 wickets,Nairobi (Gym),"Aug 12, 2006",Bangladesh
ODI # 2403,Kenya,Bangladesh,2 wickets,Nairobi (Gym),"Aug 13, 2006",Bangladesh
ODI # 2404,Kenya,Bangladesh,6 wickets,Nairobi (Gym),"Aug 15, 2006",Bangladesh
ODI # 2406,Canada,Bermuda,6 wickets,Toronto,"Aug 19, 2006",Bermuda
ODI # 2407,Canada,Bermuda,11 runs,Toronto,"Aug 21, 2006",Bermuda
ODI # 2409,England,Pakistan,7 wickets,Lord's,"Sep 2, 2006",Pakistan
ODI # 2410,England,Pakistan,2 wickets,Southampton,"Sep 5, 2006",Pakistan
ODI # 2411,England,Pakistan,8 wickets,Nottingham,"Sep 8, 2006",England
ODI # 2412,England,Pakistan,3 wickets,Birmingham,"Sep 10, 2006",England
ODI # 2413,Australia,West Indies,78 runs,Kuala Lumpur,"Sep 12, 2006",Australia
ODI # 2414,India,West Indies,29 runs,Kuala Lumpur,"Sep 14, 2006",West Indies
ODI # 2415,South Africa,Zimbabwe,5 wickets,Bloemfontein,"Sep 15, 2006",South Africa
ODI # 2417,Australia,West Indies,3 wickets,Kuala Lumpur,"Sep 18, 2006",West Indies
ODI # 2418,South Africa,Zimbabwe,6 wickets,East London,"Sep 18, 2006",South Africa
ODI # 2419,India,West Indies,16 runs,Kuala Lumpur,"Sep 20, 2006",India
ODI # 2420,South Africa,Zimbabwe,171 runs,Potchefstroom,"Sep 20, 2006",South Africa
ODI # 2421,Australia,India,18 runs,Kuala Lumpur,"Sep 22, 2006",Australia
ODI # 2422,Australia,West Indies,127 runs,Kuala Lumpur,"Sep 24, 2006",Australia
ODI # 2423,Bangladesh,Sri Lanka,37 runs,Mohali,"Oct 7, 2006",Sri Lanka
ODI # 2424,West Indies,Zimbabwe,9 wickets,Ahmedabad,"Oct 8, 2006",West Indies
ODI # 2425,Sri Lanka,Zimbabwe,144 runs,Ahmedabad,"Oct 10, 2006",Sri Lanka
ODI # 2426,Bangladesh,West Indies,10 wickets,Jaipur,"Oct 11, 2006",West Indies
ODI # 2427,Bangladesh,Zimbabwe,101 runs,Jaipur,"Oct 13, 2006",Bangladesh
ODI # 2428,Sri Lanka,West Indies,9 wickets,Mumbai (BS),"Oct 14, 2006",Sri Lanka
ODI # 2429,India,England,4 wickets,Jaipur,"Oct 15, 2006",India
ODI # 2430,New Zealand,South Africa,87 runs,Mumbai (BS),"Oct 16, 2006",New Zealand
ODI # 2431,Pakistan,Sri Lanka,4 wickets,Jaipur,"Oct 17, 2006",Pakistan
ODI # 2432,Australia,West Indies,10 runs,Mumbai (BS),"Oct 18, 2006",West Indies
ODI # 2433,New Zealand,Sri Lanka,7 wickets,Mumbai (BS),"Oct 20, 2006",Sri Lanka
ODI # 2434,Australia,England,6 wickets,Jaipur,"Oct 21, 2006",Australia
ODI # 2435,South Africa,Sri Lanka,78 runs,Ahmedabad,"Oct 24, 2006",South Africa
ODI # 2436,New Zealand,Pakistan,51 runs,Mohali,"Oct 25, 2006",New Zealand
ODI # 2437,India,West Indies,3 wickets,Ahmedabad,"Oct 26, 2006",West Indies
ODI # 2438,Pakistan,South Africa,124 runs,Mohali,"Oct 27, 2006",South Africa
ODI # 2439,England,West Indies,3 wickets,Ahmedabad,"Oct 28, 2006",England
ODI # 2440,India,Australia,6 wickets,Mohali,"Oct 29, 2006",Australia
ODI # 2441,Australia,New Zealand,34 runs,Mohali,"Nov 1, 2006",Australia
ODI # 2442,South Africa,West Indies,6 wickets,Jaipur,"Nov 2, 2006",West Indies
ODI # 2443,Australia,West Indies,8 wickets,Mumbai (BS),"Nov 5, 2006",Australia
ODI # 2444,Kenya,Bermuda,79 runs,Mombasa,"Nov 11, 2006",Kenya
ODI # 2445,Kenya,Bermuda,7 wickets,Mombasa,"Nov 12, 2006",Kenya
ODI # 2446,Kenya,Bermuda,104 runs,Mombasa,"Nov 14, 2006",Kenya
ODI # 2447,South Africa,India,157 runs,Durban,"Nov 22, 2006",South Africa
ODI # 2448,Canada,Netherlands,17 runs,Potchefstroom,"Nov 26, 2006",Netherlands
ODI # 2449,South Africa,India,106 runs,Cape Town,"Nov 26, 2006",South Africa
ODI # 2450,Bermuda,Canada,5 wickets,Potchefstroom,"Nov 27, 2006",Canada
ODI # 2451,Bermuda,Netherlands,8 wickets,Potchefstroom,"Nov 28, 2006",Netherlands
ODI # 2452,South Africa,India,80 runs,Port Elizabeth,"Nov 29, 2006",South Africa
ODI # 2453,Bangladesh,Zimbabwe,9 wickets,Khulna,"Nov 30, 2006",Bangladesh
ODI # 2454,Bermuda,Canada,3 wickets,Benoni,"Nov 30, 2006",Canada
ODI # 2455,Canada,Netherlands,1 wicket,Benoni,"Dec 1, 2006",Netherlands
ODI # 2456,Bermuda,Netherlands,6 wickets,Benoni,"Dec 2, 2006",Bermuda
ODI # 2457,Bangladesh,Zimbabwe,6 wickets,Bogra,"Dec 3, 2006",Bangladesh
ODI # 2458,South Africa,India,9 wickets,Centurion,"Dec 3, 2006",South Africa
