Unnamed: 0,Scorecard,Team 1,Team 2,Margin,Ground,Match Date,Winner,Host_Country,Venue_Team1,Venue_Team2,Innings_Team1,Innings_Team2
3599,ODI # 3773,England,Pakistan,Winner1stInning,Nottingham,"Aug 30, 2016",England,England,Home,Away,First,Second
3600,ODI # 3774,Sri Lanka,Australia,Winner2ndInning,Dambulla,"Aug 31, 2016",Australia,Sri Lanka,Home,Away,First,Second
3601,ODI # 3775,England,Pakistan,Winner2ndInning,Leeds,"Sep 1, 2016",England,England,Home,Away,Second,First
3602,ODI # 3776,Sri Lanka,Australia,Winner2ndInning,Pallekele,"Sep 4, 2016",Australia,,Neutral,Neutral,First,Second
3603,ODI # 3777,England,Pakistan,Winner2ndInning,Cardiff,"Sep 4, 2016",Pakistan,England,Home,Away,First,Second
3604,ODI # 3779,Scotland,Hong Kong,Winner1stInning,Edinburgh,"Sep 10, 2016",Scotland,Scotland,Home,Away,First,Second
3605,ODI # 3780,South Africa,Ireland,Winner1stInning,Benoni,"Sep 25, 2016",South Africa,South Africa,Home,Away,First,Second
3606,ODI # 3781,Bangladesh,Afghanistan,Winner1stInning,Dhaka,"Sep 25, 2016",Bangladesh,Bangladesh,Home,Away,First,Second
3607,ODI # 3782,Australia,Ireland,Winner2ndInning,Benoni,"Sep 27, 2016",Australia,South Africa,Neutral,Neutral,Second,First
3608,ODI # 3783,Bangladesh,Afghanistan,Winner2ndInning,Dhaka,"Sep 28, 2016",Afghanistan,Bangladesh,Home,Away,First,Second
3609,ODI # 3784,Pakistan,West Indies,Winner1stInning,Sharjah,"Sep 30, 2016",Pakistan,U.A.E.,Neutral,Neutral,First,Second
3610,ODI # 3785,South Africa,Australia,Winner2ndInning,Centurion,"Sep 30, 2016",South Africa,South Africa,Home,Away,Second,First
3611,ODI # 3786,Bangladesh,Afghanistan,Winner1stInning,Dhaka,"Oct 1, 2016",Bangladesh,Bangladesh,Home,Away,First,Second
3612,ODI # 3787,South Africa,Australia,Winner1stInning,Johannesburg,"Oct 2, 2016",South Africa,South Africa,Home,Away,First,Second
3613,ODI # 3788,Pakistan,West Indies,Winner1stInning,Sharjah,"Oct 2, 2016",Pakistan,U.A.E.,Neutral,Neutral,First,Second
3614,ODI # 3789,Pakistan,West Indies,Winner1stInning,Abu Dhabi,"Oct 5, 2016",Pakistan,U.A.E.,Neutral,Neutral,First,Second
3615,ODI # 3790,South Africa,Australia,Winner2ndInning,Durban,"Oct 5, 2016",South Africa,South Africa,Home,Away,Second,First
3616,ODI # 3791,Bangladesh,England,Winner1stInning,Dhaka,"Oct 7, 2016",England,Bangladesh,Home,Away,Second,First
3617,ODI # 3792,South Africa,Australia,Winner2ndInning,Port Elizabeth,"Oct 9, 2016",South Africa,South Africa,Home,Away,Second,First
3618,ODI # 3793,Bangladesh,England,Winner1stInning,Dhaka,"Oct 9, 2016",Bangladesh,Bangladesh,Home,Away,First,Second
3619,ODI # 3794,Bangladesh,England,Winner2ndInning,Chittagong,"Oct 12, 2016",England,Bangladesh,Home,Away,First,Second
3620,ODI # 3795,South Africa,Australia,Winner1stInning,Cape Town,"Oct 12, 2016",South Africa,South Africa,Home,Away,First,Second
3621,ODI # 3796,India,New Zealand,Winner2ndInning,Dharamsala,"Oct 16, 2016",India,India,Home,Away,Second,First
3622,ODI # 3797,India,New Zealand,Winner1stInning,Delhi,"Oct 20, 2016",New Zealand,India,Home,Away,Second,First
3623,ODI # 3798,India,New Zealand,Winner2ndInning,Mohali,"Oct 23, 2016",India,,Neutral,Neutral,Second,First
3624,ODI # 3799,India,New Zealand,Winner1stInning,Ranchi,"Oct 26, 2016",New Zealand,India,Home,Away,Second,First
3625,ODI # 3800,India,New Zealand,Winner1stInning,Visakhapatnam,"Oct 29, 2016",India,India,Home,Away,First,Second
3626,ODI # 3801,Hong Kong,P.N.G.,Winner1stInning,Mong Kok,"Nov 4, 2016",Hong Kong,Hong Kong,Home,Away,First,Second
3627,ODI # 3802,Hong Kong,P.N.G.,Winner1stInning,Mong Kok,"Nov 6, 2016",P.N.G.,Hong Kong,Home,Away,Second,First
3628,ODI # 3803,Hong Kong,P.N.G.,Winner2ndInning,Mong Kok,"Nov 8, 2016",Hong Kong,Hong Kong,Home,Away,Second,First
3629,ODI # 3804,Zimbabwe,Sri Lanka,Winner2ndInning,Harare,"Nov 14, 2016",Sri Lanka,Zimbabwe,Home,Away,First,Second
3630,ODI # 3805,Sri Lanka,West Indies,Winner1stInning,Harare,"Nov 16, 2016",West Indies,Zimbabwe,Neutral,Neutral,Second,First
3631,ODI # 3808,Sri Lanka,West Indies,Winner1stInning,Bulawayo,"Nov 23, 2016",Sri Lanka,Zimbabwe,Neutral,Neutral,First,Second
3632,ODI # 3809,Zimbabwe,West Indies,Winner1stInning,Bulawayo,"Nov 25, 2016",Zimbabwe,Zimbabwe,Home,Away,First,Second
3633,ODI # 3810,Zimbabwe,Sri Lanka,Winner2ndInning,Bulawayo,"Nov 27, 2016",Sri Lanka,Zimbabwe,Home,Away,First,Second
3634,ODI # 3811,Australia,New Zealand,Winner1stInning,Sydney,"Dec 4, 2016",Australia,Australia,Home,Away,First,Second
3635,ODI # 3812,Australia,New Zealand,Winner1stInning,Canberra,"Dec 6, 2016",Australia,Australia,Home,Away,First,Second
3636,ODI # 3813,Australia,New Zealand,Winner1stInning,Melbourne,"Dec 9, 2016",Australia,Australia,Home,Away,First,Second
3637,ODI # 3814,New Zealand,Bangladesh,Winner1stInning,Christchurch,"Dec 26, 2016",New Zealand,New Zealand,Home,Away,First,Second
3638,ODI # 3815,New Zealand,Bangladesh,Winner1stInning,Nelson,"Dec 29, 2016",New Zealand,New Zealand,Home,Away,First,Second
3639,ODI # 3816,New Zealand,Bangladesh,Winner2ndInning,Nelson,"Dec 31, 2016",New Zealand,New Zealand,Home,Away,Second,First
3640,ODI # 3817,Australia,Pakistan,Winner1stInning,Brisbane,"Jan 13, 2017",Australia,Australia,Home,Away,First,Second
3641,ODI # 3818,Australia,Pakistan,Winner2ndInning,Melbourne,"Jan 15, 2017",Pakistan,Australia,Home,Away,First,Second
3642,ODI # 3819,India,England,Winner2ndInning,Pune,"Jan 15, 2017",India,India,Home,Away,Second,First
3643,ODI # 3820,Australia,Pakistan,Winner2ndInning,Perth,"Jan 19, 2017",Australia,Australia,Home,Away,Second,First
3644,ODI # 3821,India,England,Winner1stInning,Cuttack,"Jan 19, 2017",India,India,Home,Away,First,Second
3645,ODI # 3822,Australia,Pakistan,Winner1stInning,Sydney,"Jan 22, 2017",Australia,Australia,Home,Away,First,Second
3646,ODI # 3823,Hong Kong,Scotland,Winner2ndInning,Abu Dhabi,"Jan 22, 2017",Hong Kong,U.A.E.,Neutral,Neutral,Second,First
3647,ODI # 3824,India,England,Winner1stInning,Kolkata,"Jan 22, 2017",England,India,Home,Away,Second,First
3648,ODI # 3825,U.A.E.,Scotland,Winner2ndInning,Dubai,"Jan 24, 2017",U.A.E.,U.A.E.,Home,Away,Second,First
3649,ODI # 3826,Australia,Pakistan,Winner1stInning,Adelaide,"Jan 26, 2017",Australia,Australia,Home,Away,First,Second
3650,ODI # 3827,U.A.E.,Hong Kong,Winner2ndInning,Dubai,"Jan 26, 2017",U.A.E.,U.A.E.,Home,Away,Second,First
3651,ODI # 3828,South Africa,Sri Lanka,Winner2ndInning,Port Elizabeth,"Jan 28, 2017",South Africa,South Africa,Home,Away,Second,First
3652,ODI # 3829,New Zealand,Australia,Winner1stInning,Auckland,"Jan 30, 2017",New Zealand,New Zealand,Home,Away,First,Second
3653,ODI # 3830,South Africa,Sri Lanka,Winner1stInning,Durban,"Feb 1, 2017",South Africa,South Africa,Home,Away,First,Second
3654,ODI # 3831,South Africa,Sri Lanka,Winner2ndInning,Johannesburg,"Feb 4, 2017",South Africa,South Africa,Home,Away,Second,First
3655,ODI # 3832,New Zealand,Australia,Winner1stInning,Hamilton,"Feb 5, 2017",New Zealand,New Zealand,Home,Away,First,Second
3656,ODI # 3833,South Africa,Sri Lanka,Winner1stInning,Cape Town,"Feb 7, 2017",South Africa,South Africa,Home,Away,First,Second
3657,ODI # 3834,South Africa,Sri Lanka,Winner1stInning,Centurion,"Feb 10, 2017",South Africa,South Africa,Home,Away,First,Second
3658,ODI # 3835,Zimbabwe,Afghanistan,Winner1stInning,Harare,"Feb 16, 2017",Afghanistan,Zimbabwe,Home,Away,Second,First
3659,ODI # 3836,New Zealand,South Africa,Winner2ndInning,Hamilton,"Feb 19, 2017",South Africa,New Zealand,Home,Away,First,Second
3660,ODI # 3837,Zimbabwe,Afghanistan,Winner1stInning,Harare,"Feb 19, 2017",Afghanistan,Zimbabwe,Home,Away,Second,First
3661,ODI # 3838,Zimbabwe,Afghanistan,Winner1stInning,Harare,"Feb 21, 2017",Zimbabwe,Zimbabwe,Home,Away,First,Second
3662,ODI # 3839,New Zealand,South Africa,Winner1stInning,Christchurch,"Feb 22, 2017",New Zealand,New Zealand,Home,Away,First,Second
3663,ODI # 3840,Zimbabwe,Afghanistan,Winner2ndInning,Harare,"Feb 24, 2017",Zimbabwe,Zimbabwe,Home,Away,Second,First
3664,ODI # 3841,New Zealand,South Africa,Winner1stInning,Wellington,"Feb 25, 2017",South Africa,New Zealand,Home,Away,Second,First
3665,ODI # 3842,Zimbabwe,Afghanistan,Winner1stInning,Harare,"Feb 26, 2017",Afghanistan,Zimbabwe,Home,Away,Second,First
3666,ODI # 3843,New Zealand,South Africa,Winner2ndInning,Hamilton,"Mar 1, 2017",New Zealand,New Zealand,Home,Away,Second,First
3667,ODI # 3844,U.A.E.,Ireland,Winner1stInning,ICCA Dubai,"Mar 2, 2017",Ireland,U.A.E.,Home,Away,Second,First
3668,ODI # 3845,West Indies,England,Winner1stInning,North Sound,"Mar 3, 2017",England,West Indies,Home,Away,Second,First
3669,ODI # 3846,New Zealand,South Africa,Winner2ndInning,Auckland,"Mar 4, 2017",South Africa,New Zealand,Home,Away,First,Second
3670,ODI # 3847,U.A.E.,Ireland,Winner2ndInning,ICCA Dubai,"Mar 4, 2017",Ireland,U.A.E.,Home,Away,First,Second
3671,ODI # 3848,West Indies,England,Winner2ndInning,North Sound,"Mar 5, 2017",England,West Indies,Home,Away,First,Second
3672,ODI # 3849,West Indies,England,Winner1stInning,Bridgetown,"Mar 9, 2017",England,West Indies,Home,Away,Second,First
3673,ODI # 3850,Afghanistan,Ireland,Winner1stInning,Greater Noida,"Mar 15, 2017",Afghanistan,India,Neutral,Neutral,First,Second
3674,ODI # 3851,Afghanistan,Ireland,Winner1stInning,Greater Noida,"Mar 17, 2017",Afghanistan,India,Neutral,Neutral,First,Second
3675,ODI # 3852,Afghanistan,Ireland,Winner2ndInning,Greater Noida,"Mar 19, 2017",Ireland,India,Neutral,Neutral,First,Second
3676,ODI # 3853,Afghanistan,Ireland,Winner2ndInning,Greater Noida,"Mar 22, 2017",Ireland,India,Neutral,Neutral,First,Second
3677,ODI # 3854,Afghanistan,Ireland,Winner2ndInning,Greater Noida,"Mar 24, 2017",Afghanistan,India,Neutral,Neutral,Second,First
3678,ODI # 3855,Sri Lanka,Bangladesh,Winner1stInning,Dambulla,"Mar 25, 2017",Bangladesh,Sri Lanka,Home,Away,Second,First
3679,ODI # 3857,U.A.E.,P.N.G.,Winner1stInning,Abu Dhabi,"Mar 31, 2017",U.A.E.,U.A.E.,Home,Away,First,Second
3680,ODI # 3858,Sri Lanka,Bangladesh,Winner1stInning,Colombo,"Apr 1, 2017",Sri Lanka,Sri Lanka,Home,Away,First,Second
3681,ODI # 3859,U.A.E.,P.N.G.,Winner1stInning,Abu Dhabi,"Apr 2, 2017",P.N.G.,U.A.E.,Home,Away,Second,First
3682,ODI # 3860,U.A.E.,P.N.G.,Winner1stInning,Abu Dhabi,"Apr 4, 2017",U.A.E.,U.A.E.,Home,Away,First,Second
3683,ODI # 3861,West Indies,Pakistan,Winner2ndInning,Providence,"Apr 7, 2017",West Indies,West Indies,Home,Away,Second,First
3684,ODI # 3862,West Indies,Pakistan,Winner1stInning,Providence,"Apr 9, 2017",Pakistan,West Indies,Home,Away,Second,First
3685,ODI # 3863,West Indies,Pakistan,Winner2ndInning,Providence,"Apr 11, 2017",Pakistan,West Indies,Home,Away,First,Second
3686,ODI # 3864,England,Ireland,Winner2ndInning,Bristol,"May 5, 2017",England,England,Home,Away,Second,First
3687,ODI # 3865,England,Ireland,Winner1stInning,Lord's,"May 7, 2017",England,England,Home,Away,First,Second
3688,ODI # 3867,Ireland,New Zealand,Winner1stInning,Dublin,"May 14, 2017",New Zealand,Ireland,Home,Away,Second,First
3689,ODI # 3868,Bangladesh,New Zealand,Winner2ndInning,Dublin,"May 17, 2017",New Zealand,Ireland,Neutral,Neutral,First,Second
3690,ODI # 3869,Ireland,Bangladesh,Winner2ndInning,Dublin,"May 19, 2017",Bangladesh,Ireland,Home,Away,First,Second
3691,ODI # 3870,Ireland,New Zealand,Winner1stInning,Dublin,"May 21, 2017",New Zealand,Ireland,Home,Away,Second,First
3692,ODI # 3871,Bangladesh,New Zealand,Winner2ndInning,Dublin,"May 24, 2017",Bangladesh,Ireland,Neutral,Neutral,Second,First
3693,ODI # 3872,England,South Africa,Winner1stInning,Leeds,"May 24, 2017",England,England,Home,Away,First,Second
3694,ODI # 3873,England,South Africa,Winner1stInning,Southampton,"May 27, 2017",England,England,Home,Away,First,Second
3695,ODI # 3874,England,South Africa,Winner2ndInning,Lord's,"May 29, 2017",South Africa,England,Home,Away,First,Second
3696,ODI # 3875,England,Bangladesh,Winner2ndInning,The Oval,"Jun 1, 2017",England,England,Home,Away,Second,First
3697,ODI # 3877,South Africa,Sri Lanka,Winner1stInning,The Oval,"Jun 3, 2017",South Africa,England,Neutral,Neutral,First,Second
3698,ODI # 3878,India,Pakistan,Winner1stInning,Birmingham,"Jun 4, 2017",India,England,Neutral,Neutral,First,Second
3699,ODI # 3880,England,New Zealand,Winner1stInning,Cardiff,"Jun 6, 2017",England,England,Home,Away,First,Second
3700,ODI # 3881,Pakistan,South Africa,Winner1stInning,Birmingham,"Jun 7, 2017",Pakistan,England,Neutral,Neutral,First,Second
3701,ODI # 3882,India,Sri Lanka,Winner2ndInning,The Oval,"Jun 8, 2017",Sri Lanka,England,Neutral,Neutral,First,Second
3702,ODI # 3883,Bangladesh,New Zealand,Winner2ndInning,Cardiff,"Jun 9, 2017",Bangladesh,England,Neutral,Neutral,Second,First
3703,ODI # 3884,West Indies,Afghanistan,Winner1stInning,Gros Islet,"Jun 9, 2017",Afghanistan,West Indies,Home,Away,Second,First
3704,ODI # 3885,England,Australia,Winner1stInning,Birmingham,"Jun 10, 2017",England,England,Home,Away,First,Second
3705,ODI # 3886,India,South Africa,Winner2ndInning,The Oval,"Jun 11, 2017",India,England,Neutral,Neutral,Second,First
3706,ODI # 3887,West Indies,Afghanistan,Winner2ndInning,Gros Islet,"Jun 11, 2017",West Indies,West Indies,Home,Away,Second,First
3707,ODI # 3888,Pakistan,Sri Lanka,Winner2ndInning,Cardiff,"Jun 12, 2017",Pakistan,England,Neutral,Neutral,Second,First
3708,ODI # 3889,England,Pakistan,Winner2ndInning,Cardiff,"Jun 14, 2017",Pakistan,England,Home,Away,First,Second
3709,ODI # 3891,Bangladesh,India,Winner2ndInning,Birmingham,"Jun 15, 2017",India,England,Neutral,Neutral,First,Second
3710,ODI # 3892,Scotland,Zimbabwe,Winner1stInning,Edinburgh,"Jun 15, 2017",Scotland,Scotland,Home,Away,First,Second
3711,ODI # 3893,Scotland,Zimbabwe,Winner2ndInning,Edinburgh,"Jun 17, 2017",Zimbabwe,Scotland,Home,Away,First,Second
3712,ODI # 3894,India,Pakistan,Winner1stInning,The Oval,"Jun 18, 2017",Pakistan,England,Neutral,Neutral,Second,First
3713,ODI # 3896,West Indies,India,Winner1stInning,Port of Spain,"Jun 25, 2017",India,West Indies,Home,Away,Second,First
3714,ODI # 3897,Sri Lanka,Zimbabwe,Winner2ndInning,Galle,"Jun 30, 2017",Zimbabwe,Sri Lanka,Home,Away,First,Second
3715,ODI # 3898,West Indies,India,Winner1stInning,North Sound,"Jun 30, 2017",India,West Indies,Home,Away,Second,First
3716,ODI # 3899,Sri Lanka,Zimbabwe,Winner2ndInning,Galle,"Jul 2, 2017",Sri Lanka,Sri Lanka,Home,Away,Second,First
3717,ODI # 3900,West Indies,India,Winner1stInning,North Sound,"Jul 2, 2017",West Indies,West Indies,Home,Away,First,Second
3718,ODI # 3901,Sri Lanka,Zimbabwe,Winner2ndInning,Hambantota,"Jul 6, 2017",Sri Lanka,Sri Lanka,Home,Away,Second,First
3719,ODI # 3902,West Indies,India,Winner2ndInning,Kingston,"Jul 6, 2017",India,West Indies,Home,Away,First,Second
3720,ODI # 3903,Sri Lanka,Zimbabwe,Winner2ndInning,Hambantota,"Jul 8, 2017",Zimbabwe,Sri Lanka,Home,Away,First,Second
3721,ODI # 3904,Sri Lanka,Zimbabwe,Winner2ndInning,Hambantota,"Jul 10, 2017",Zimbabwe,Sri Lanka,Home,Away,First,Second
3722,ODI # 3905,Sri Lanka,India,Winner2ndInning,Dambulla,"Aug 20, 2017",India,Sri Lanka,Home,Away,First,Second
3723,ODI # 3906,Sri Lanka,India,Winner2ndInning,Pallekele,"Aug 24, 2017",India,,Neutral,Neutral,First,Second
3724,ODI # 3907,Sri Lanka,India,Winner2ndInning,Pallekele,"Aug 27, 2017",India,,Neutral,Neutral,First,Second
3725,ODI # 3908,Sri Lanka,India,Winner1stInning,Colombo,"Aug 31, 2017",India,Sri Lanka,Home,Away,Second,First
3726,ODI # 3909,Sri Lanka,India,Winner2ndInning,Colombo,"Sep 3, 2017",India,Sri Lanka,Home,Away,First,Second
3727,ODI # 3910,India,Australia,Winner1stInning,Chennai,"Sep 17, 2017",India,India,Home,Away,First,Second
3728,ODI # 3911,England,West Indies,Winner2ndInning,Manchester,"Sep 19, 2017",England,England,Home,Away,Second,First
3729,ODI # 3912,India,Australia,Winner1stInning,Kolkata,"Sep 21, 2017",India,India,Home,Away,First,Second
3730,ODI # 3914,India,Australia,Winner2ndInning,Indore,"Sep 24, 2017",India,India,Home,Away,Second,First
3731,ODI # 3915,England,West Indies,Winner1stInning,Bristol,"Sep 24, 2017",England,England,Home,Away,First,Second
3732,ODI # 3916,England,West Indies,Winner1stInning,The Oval,"Sep 27, 2017",England,England,Home,Away,First,Second
3733,ODI # 3917,India,Australia,Winner1stInning,Bengaluru,"Sep 28, 2017",Australia,India,Home,Away,Second,First
3734,ODI # 3918,England,West Indies,Winner2ndInning,Southampton,"Sep 29, 2017",England,England,Home,Away,Second,First
3735,ODI # 3919,India,Australia,Winner2ndInning,Nagpur,"Oct 1, 2017",India,India,Home,Away,Second,First
3736,ODI # 3920,P.N.G.,Scotland,Winner1stInning,Port Moresby,"Oct 6, 2017",Scotland,Papua New Guinea,Neutral,Neutral,Second,First
3737,ODI # 3921,P.N.G.,Scotland,Winner2ndInning,Port Moresby,"Oct 8, 2017",P.N.G.,Papua New Guinea,Neutral,Neutral,Second,First
3738,ODI # 3922,Pakistan,Sri Lanka,Winner1stInning,Dubai,"Oct 13, 2017",Pakistan,U.A.E.,Neutral,Neutral,First,Second
3739,ODI # 3923,South Africa,Bangladesh,Winner2ndInning,Kimberley,"Oct 15, 2017",South Africa,South Africa,Home,Away,Second,First
3740,ODI # 3924,Pakistan,Sri Lanka,Winner1stInning,Abu Dhabi,"Oct 16, 2017",Pakistan,U.A.E.,Neutral,Neutral,First,Second
3741,ODI # 3925,South Africa,Bangladesh,Winner1stInning,Paarl,"Oct 18, 2017",South Africa,South Africa,Home,Away,First,Second
3742,ODI # 3926,Pakistan,Sri Lanka,Winner2ndInning,Abu Dhabi,"Oct 18, 2017",Pakistan,U.A.E.,Neutral,Neutral,Second,First
3743,ODI # 3927,Pakistan,Sri Lanka,Winner2ndInning,Sharjah,"Oct 20, 2017",Pakistan,U.A.E.,Neutral,Neutral,Second,First
3744,ODI # 3928,India,New Zealand,Winner2ndInning,Mumbai,"Oct 22, 2017",New Zealand,India,Home,Away,First,Second
3745,ODI # 3929,South Africa,Bangladesh,Winner1stInning,East London,"Oct 22, 2017",South Africa,South Africa,Home,Away,First,Second
3746,ODI # 3930,Pakistan,Sri Lanka,Winner2ndInning,Sharjah,"Oct 23, 2017",Pakistan,U.A.E.,Neutral,Neutral,Second,First
3747,ODI # 3931,India,New Zealand,Winner2ndInning,Pune,"Oct 25, 2017",India,India,Home,Away,Second,First
3748,ODI # 3932,India,New Zealand,Winner1stInning,Kanpur,"Oct 29, 2017",India,India,Home,Away,First,Second
3749,ODI # 3933,Hong Kong,Namibia,Winner2ndInning,Mumbai,"Aug 12, 2017",Namibia,India,Neutral,Neutral,First,Second
3750,ODI # 3934,Bermuda,U.S.A.,Winner2ndInning,Mumbai,"Aug 12, 2017",U.S.A.,India,Neutral,Neutral,First,Second
3749,ODI # 3935,East Africa,Namibia,Winner1stInning,Mumbai,"Aug 12, 2017",East Africa,India,Neutral,Neutral,First,Second
0,ODI # 1,England,Australia,Winner2ndInning,Melbourne,"Jan 5, 1971",Australia,Australia,Away,Home,First,Second
1,ODI # 2,Australia,England,Winner2ndInning,Manchester,"Aug 24, 1972",England,England,Away,Home,First,Second
2,ODI # 3,Australia,England,Winner2ndInning,Lord's,"Aug 26, 1972",Australia,England,Away,Home,Second,First
3,ODI # 4,Australia,England,Winner2ndInning,Birmingham,"Aug 28, 1972",England,England,Away,Home,First,Second
4,ODI # 5,Pakistan,New Zealand,Winner1stInning,Christchurch,"Feb 11, 1973",New Zealand,New Zealand,Away,Home,Second,First
5,ODI # 6,New Zealand,England,Winner2ndInning,Swansea,"Jul 18, 1973",England,England,Away,Home,First,Second
6,ODI # 8,West Indies,England,Winner2ndInning,Leeds,"Sep 5, 1973",England,England,Away,Home,First,Second
7,ODI # 9,West Indies,England,Winner2ndInning,The Oval,"Sep 7, 1973",West Indies,England,Away,Home,Second,First
8,ODI # 10,Australia,New Zealand,Winner2ndInning,Dunedin,"Mar 30, 1974",Australia,New Zealand,Away,Home,Second,First
9,ODI # 11,Australia,New Zealand,Winner1stInning,Christchurch,"Mar 31, 1974",Australia,New Zealand,Away,Home,First,Second
10,ODI # 12,India,England,Winner2ndInning,Leeds,"Jul 13, 1974",England,England,Away,Home,First,Second
11,ODI # 13,India,England,Winner2ndInning,The Oval,"Jul 15-16, 1974",England,England,Away,Home,First,Second
12,ODI # 14,Pakistan,England,Winner2ndInning,Nottingham,"Aug 31, 1974",Pakistan,England,Away,Home,Second,First
13,ODI # 15,Pakistan,England,Winner2ndInning,Birmingham,"Sep 3, 1974",Pakistan,England,Away,Home,Second,First
14,ODI # 16,England,Australia,Winner2ndInning,Melbourne,"Jan 1, 1975",England,Australia,Away,Home,Second,First
15,ODI # 19,India,England,Winner1stInning,Lord's,"Jun 7, 1975",England,England,Away,Home,Second,First
16,ODI # 20,New Zealand,East Africa,Winner1stInning,Birmingham,"Jun 7, 1975",New Zealand,England,Neutral,Neutral,First,Second
17,ODI # 21,Pakistan,Australia,Winner1stInning,Leeds,"Jun 7, 1975",Australia,England,Neutral,Neutral,Second,First
18,ODI # 22,West Indies,Sri Lanka,Winner2ndInning,Manchester,"Jun 7, 1975",West Indies,England,Neutral,Neutral,Second,First
19,ODI # 23,New Zealand,England,Winner1stInning,Nottingham,"Jun 11, 1975",England,England,Away,Home,Second,First
20,ODI # 24,India,East Africa,Winner2ndInning,Leeds,"Jun 11, 1975",India,England,Neutral,Neutral,Second,First
21,ODI # 25,Sri Lanka,Australia,Winner1stInning,The Oval,"Jun 11, 1975",Australia,England,Neutral,Neutral,Second,First
22,ODI # 26,West Indies,Pakistan,Winner2ndInning,Birmingham,"Jun 11, 1975",West Indies,England,Neutral,Neutral,Second,First
23,ODI # 27,East Africa,England,Winner1stInning,Birmingham,"Jun 14, 1975",England,England,Away,Home,Second,First
24,ODI # 28,New Zealand,India,Winner2ndInning,Manchester,"Jun 14, 1975",New Zealand,England,Neutral,Neutral,Second,First
25,ODI # 29,West Indies,Australia,Winner2ndInning,The Oval,"Jun 14, 1975",West Indies,England,Neutral,Neutral,Second,First
26,ODI # 30,Sri Lanka,Pakistan,Winner1stInning,Nottingham,"Jun 14, 1975",Pakistan,England,Neutral,Neutral,Second,First
27,ODI # 31,Australia,England,Winner2ndInning,Leeds,"Jun 18, 1975",Australia,England,Away,Home,Second,First
28,ODI # 32,West Indies,New Zealand,Winner2ndInning,The Oval,"Jun 18, 1975",West Indies,England,Neutral,Neutral,Second,First
29,ODI # 33,West Indies,Australia,Winner1stInning,Lord's,"Jun 21, 1975",West Indies,England,Neutral,Neutral,First,Second
30,ODI # 34,West Indies,Australia,Winner2ndInning,Adelaide,"Dec 20, 1975",Australia,Australia,Away,Home,First,Second
31,ODI # 35,India,New Zealand,Winner2ndInning,Christchurch,"Feb 21, 1976",New Zealand,New Zealand,Away,Home,First,Second
32,ODI # 36,India,New Zealand,Winner1stInning,Auckland,"Feb 22, 1976",New Zealand,New Zealand,Away,Home,Second,First
33,ODI # 37,West Indies,England,Winner2ndInning,Scarborough,"Aug 26, 1976",West Indies,England,Away,Home,Second,First
34,ODI # 38,West Indies,England,Winner1stInning,Lord's,"Aug 28-29, 1976",West Indies,England,Away,Home,First,Second
35,ODI # 39,West Indies,England,Winner1stInning,Birmingham,"Aug 30-31, 1976",West Indies,England,Away,Home,First,Second
36,ODI # 40,New Zealand,Pakistan,Winner1stInning,Sialkot,"Oct 16, 1976",New Zealand,Pakistan,Away,Home,First,Second
37,ODI # 41,Pakistan,West Indies,Winner2ndInning,Albion,"Mar 16, 1977",West Indies,West Indies,Away,Home,First,Second
38,ODI # 42,Australia,England,Winner2ndInning,Manchester,"Jun 2, 1977",England,England,Away,Home,First,Second
39,ODI # 43,Australia,England,Winner1stInning,Birmingham,"Jun 4, 1977",England,England,Away,Home,Second,First
40,ODI # 44,Australia,England,Winner2ndInning,The Oval,"Jun 6, 1977",Australia,England,Away,Home,Second,First
41,ODI # 45,England,Pakistan,Winner2ndInning,Sahiwal,"Dec 23, 1977",England,Pakistan,Away,Home,Second,First
42,ODI # 46,England,Pakistan,Winner2ndInning,Sialkot,"Dec 30, 1977",England,Pakistan,Away,Home,Second,First
43,ODI # 47,England,Pakistan,Winner1stInning,Lahore,"Jan 13, 1978",Pakistan,Pakistan,Away,Home,Second,First
44,ODI # 48,Australia,West Indies,Winner1stInning,St John's,"Feb 22, 1978",West Indies,West Indies,Away,Home,Second,First
45,ODI # 49,Australia,West Indies,Winner2ndInning,Castries,"Apr 12, 1978",Australia,West Indies,Away,Home,Second,First
46,ODI # 50,Pakistan,England,Winner1stInning,Manchester,"May 24-25, 1978",England,England,Away,Home,Second,First
47,ODI # 51,Pakistan,England,Winner1stInning,The Oval,"May 26, 1978",England,England,Away,Home,Second,First
48,ODI # 52,New Zealand,England,Winner1stInning,Scarborough,"Jul 15, 1978",England,England,Away,Home,Second,First
49,ODI # 53,New Zealand,England,Winner1stInning,Manchester,"Jul 17, 1978",England,England,Away,Home,Second,First
50,ODI # 54,India,Pakistan,Winner1stInning,Quetta,"Oct 1, 1978",India,Pakistan,Away,Home,First,Second
51,ODI # 55,India,Pakistan,Winner2ndInning,Sialkot,"Oct 13, 1978",Pakistan,Pakistan,Away,Home,First,Second
53,ODI # 58,England,Australia,Winner2ndInning,Melbourne,"Jan 24, 1979",England,Australia,Away,Home,Second,First
54,ODI # 59,England,Australia,Winner2ndInning,Melbourne,"Feb 4, 1979",Australia,Australia,Away,Home,First,Second
55,ODI # 60,England,Australia,Winner2ndInning,Melbourne,"Feb 7, 1979",Australia,Australia,Away,Home,First,Second
56,ODI # 61,West Indies,India,Winner2ndInning,Birmingham,"Jun 9, 1979",West Indies,England,Neutral,Neutral,Second,First
